Account_Number,Account_Name,Property_Code,Account_Base_Name,Account_Sub_Detail,Total_Balance,Is_Accumulated,Target_Account_Name,Target_Account_Code,Action,Notes
2210-0000,Prepaid Rent,nan,Prepaid Rent,nan,541194.66,False,Prepaid Rent,PREPAID_RENT,keep,Account is not a bank/cash account; keeping as is.
2220-0000,Prepaid Assessment,nan,Prepaid Assessment,nan,-1994.98,False,Prepaid Assessment,Prepaid_Assessment,keep,Account is not a bank/cash account; keeping as is.
2230-0000,Insurance Liability,nan,Insurance Liability,nan,-39472.54,False,Insurance Liability,LIAB-INS,keep,Account is not a bank/cash account; keep as is.
2240-0000,Pet Deposits,nan,Pet Deposits,nan,2100.0,False,Corporate Cash Deposits,CC-DEP,keep,Non-accumulated account for pet deposits.
2250-0000,Tenant Deposits,nan,Tenant Deposits,nan,686041.38,False,Corporate Cash - Tenant Deposits,2250,keep,Standardized naming for tenant deposits.
2250-0010,Truck Rental Deposit,nan,Truck Rental Deposit,nan,10572.56,False,Corporate Cash - Truck Rental Deposit,2251,keep,Standardized naming for truck rental deposits.
2270-0010,Tenant Protection Net Payable,nan,Tenant Protection Net Payable,nan,-733.3199999999999,False,Corporate Cash Payable,2270,keep,Account is a payable and should be kept distinct.
2290-0000,Funds for Transfer,nan,Funds for Transfer,nan,-142014.09999999998,False,Corporate Operating Cash,COC001,keep,Funds for Transfer categorized as operating cash.
2305-0000,Real Estate Tax Accrual,nan,Real Estate Tax Accrual,nan,7251695.619999999,False,Corporate Real Estate Tax Accrual,2305-0000,keep,"Non-accumulated account, distinct from property-specific taxes."
2305-5301,5301 Dempster Property Tax,5301,Dempster Property Tax,nan,-97680.18,False,5301 Dempster Property Tax,2305-5301,keep,"Non-accumulated account, specific to Dempster property."
2310-0000,Sales Tax Collected,nan,Sales Tax Collected,nan,56934.82,False,Corporate Cash Sales Tax Collected,2310,keep,Sales tax collected from sales transactions.
2310-0001,Sales Tax Payable,nan,Sales Tax Payable,nan,-50785.2,False,Corporate Cash Sales Tax Payable,2311,keep,Liability for sales tax owed.
2609-0000,Interest Accrual,nan,Interest Accrual,nan,668795.3,False,Corporate Cash Interest Accrual,2609,keep,"Interest accrual account, not accumulated."
2610-0000,Workers Compensation Premium,nan,Workers Compensation Premium,nan,-4139.54,False,Corporate Workers Compensation Premium,CWC-001,keep,Account is non-accumulated and kept as is.
2640-0998,Expense Accrual,nan,Expense Accrual,nan,411137.26,False,Corporate Expense Accrual,EXP_ACCRUAL,keep,Non-accumulated account
2640-0999,Payroll Accrual,nan,Payroll Accrual,nan,23028.02,False,Corporate Payroll Accrual,PAY_ACCRUAL,keep,Non-accumulated account
3003-0111,Jim Hechtman Contribution,nan,Jim Hechtman Contribution,nan,150000.0,False,Corporate Cash Contribution,3003-0111,keep,Contribution account for Jim Hechtman
3003-0112,Jim Hechtman Distribution,nan,Jim Hechtman Distribution,nan,-79978.22,False,Corporate Cash Distribution,3003-0111,merge,Distribution account for Jim Hechtman merged into contribution
3003-0115,Joshua Mutnick Contribution,nan,Joshua Mutnick Contribution,nan,510928.64,False,Corporate Cash Contribution,3003-0115,keep,Contribution account for Joshua Mutnick
3003-0116,Joshua Mutnick Distribution,nan,Joshua Mutnick Distribution,nan,-160410.48,False,Corporate Cash Distribution,3003-0115,merge,Distribution account for Joshua Mutnick merged into contribution
3003-1001,SLAB Holdings LLC Contribution,nan,SLAB Holdings LLC Contribution,nan,636578.3,False,Corporate Cash Contribution,3003-1001,keep,Contribution account for SLAB Holdings LLC
3003-1002,SLAB Holdings LLC Distribution,nan,SLAB Holdings LLC Distribution,nan,-290131.68,False,Corporate Cash Distribution,3003-1001,merge,Distribution account for SLAB Holdings LLC merged into contribution
3003-1101,Eric Bickler Contribution,nan,Eric Bickler Contribution,nan,722194.5800000001,False,Corporate Cash Contribution,3003-1101,keep,Contribution account for Eric Bickler
3003-1102,Eric Bickler Distribution,nan,Eric Bickler Distribution,nan,-57848.1,False,Corporate Cash Distribution,3003-1101,merge,Distribution account for Eric Bickler merged into contribution
3003-1201,Marc Traina Contribution,nan,Marc Traina Contribution,nan,229144.58,False,Corporate Cash Contribution,3003-1201,keep,Contribution account for Marc Traina
3003-1202,Marc Traina Distribution,nan,Marc Traina Distribution,nan,-7894.2,False,Corporate Cash Distribution,3003-1201,merge,Distribution account for Marc Traina merged into contribution
3003-1301,Voshel Investments Contribution,nan,Voshel Investments Contribution,nan,4600000.0,False,Corporate Cash Contribution,3003-1301,keep,Contribution account for Voshel Investments
3003-1302,Voshel Investments Distribution,nan,Voshel Investments Distribution,nan,-860844.8199999998,False,Corporate Cash Distribution,3003-1301,merge,Distribution account for Voshel Investments merged into contribution
3003-1401,Stefanos Grapsas Contribution,nan,Stefanos Grapsas Contribution,nan,500000.0,False,Corporate Cash Contribution,3003-1401,keep,Contribution account for Stefanos Grapsas
3003-1402,Stefanos Grapsas Distribution,nan,Stefanos Grapsas Distribution,nan,-50000.0,False,Corporate Cash Distribution,3003-1401,merge,Distribution account for Stefanos Grapsas merged into contribution
3003-1501,TDSS LLC Contribution,nan,TDSS LLC Contribution,nan,200000.0,False,Corporate Cash Contribution,3003-1501,keep,Contribution account for TDSS LLC
3003-1502,TDSS LLC Distribution,nan,TDSS LLC Distribution,nan,-20000.0,False,Corporate Cash Distribution,3003-1501,merge,Distribution account for TDSS LLC merged into contribution
3003-1601,Compoo Holdings LLC Contribution,nan,Compoo Holdings LLC Contribution,nan,500000.0,False,Corporate Cash Contribution,3003-1601,keep,Contribution account for Compoo Holdings LLC
3003-1602,Compoo Holdings LLC Distribution,nan,Compoo Holdings LLC Distribution,nan,-50000.0,False,Corporate Cash Distribution,3003-1601,merge,Distribution account for Compoo Holdings LLC merged into contribution
3003-1701,Arnold Freeman Contribution,nan,Arnold Freeman Contribution,nan,40000.0,False,Corporate Cash Contribution,3003-1701,keep,Contribution account for Arnold Freeman
3003-1702,Arnold Freeman Distribution,nan,Arnold Freeman Distribution,nan,-4000.0,False,Corporate Cash Distribution,3003-1701,merge,Distribution account for Arnold Freeman merged into contribution
3003-1801,Clifford Wener Contribution,nan,Clifford Wener Contribution,nan,586100.0,False,Corporate Cash Contribution,3003-1801,keep,Contribution account for Clifford Wener
3003-1802,Clifford Wener Distribution,nan,Clifford Wener Distribution,nan,-89240.78,False,Corporate Cash Distribution,3003-1801,merge,Distribution account for Clifford Wener merged into contribution
3003-2001,The David Mutnick Living Trust Contribution,nan,The David Mutnick Living Trust Contribution,nan,1171344.58,False,Corporate Cash Contribution,3003-2001,keep,Contribution account for The David Mutnick Living Trust
3003-2002,The David Mutnick Living Trust Distribution,nan,The David Mutnick Living Trust Distribution,nan,-253418.26,False,Corporate Cash Distribution,3003-2001,merge,Distribution account for The David Mutnick Living Trust merged into contribution
3003-3001,Daniel Bayly Contribution,nan,Daniel Bayly Contribution,nan,600000.0,False,Corporate Cash Contribution,3003-3001,keep,Contribution account for Daniel Bayly
3003-3002,Daniel Bayly Distribution,nan,Daniel Bayly Distribution,nan,-21176.48,False,Corporate Cash,3003-3002,keep,Non-accumulated account
3003-4001,Mazal LLC Contribution,nan,Mazal LLC Contribution,nan,1810000.0,False,Corporate Cash,3003-4001,keep,Non-accumulated account
3003-4002,Mazal LLC Distribution,nan,Mazal LLC Distribution,nan,-72941.18,False,Corporate Cash,3003-4001,merge,Merge into 3003-4001
3003-5001,W Thomas Cross Contribution,nan,W Thomas Cross Contribution,nan,100000.0,False,Corporate Cash,3003-5001,keep,Non-accumulated account
3003-5002,W Thomas Cross Distribution,nan,W Thomas Cross Distribution,nan,-294.12,False,Corporate Cash,3003-5001,merge,Merge into 3003-5001
3003-6001,Matthew Bertram Contribution,nan,Matthew Bertram Contribution,nan,100000.0,False,Corporate Cash,3003-6001,keep,Non-accumulated account
3003-6002,Matthew Bertram Distribution,nan,Matthew Bertram Distribution,nan,-294.12,False,Corporate Cash,3003-6001,merge,Merge into 3003-6001
3003-7001,Michael Perlstein Contribution,nan,Michael Perlstein Contribution,nan,218289.14,False,Corporate Cash,3003-7001,keep,Non-accumulated account
3003-7002,Michael Perlstein Distribution,nan,Michael Perlstein Distribution,nan,-10294.12,False,Corporate Cash,3003-7001,merge,Merge into 3003-7001
3003-8001,Tree Top Investments LLC Contribution,nan,Tree Top Investments LLC Contribution,nan,236438.3,False,Corporate Cash,3003-8001,keep,Non-accumulated account
3003-8002,Tree Top Investments LLC Distribution,nan,Tree Top Investments LLC Distribution,nan,-588.24,False,Corporate Cash,3003-8001,merge,Merge into 3003-8001
3003-9001,SL & LS Investment Contribution,nan,SL & LS Investment Contribution,nan,200000.0,False,Corporate Cash,3003-9001,keep,Non-accumulated account
3003-9002,SL & LS Investment Distribution,nan,SL & LS Investment Distribution,nan,-588.24,False,Corporate Cash,3003-9001,merge,Merge into 3003-9001
3005-1001,EP Legacy Contribution,nan,EP Legacy Contribution,nan,1019019.2,False,Corporate Cash Contribution,3005-1001,keep,Standardized naming for contribution account.
3005-1002,EP Legacy Distribution,nan,EP Legacy Distribution,nan,-87627.12,False,Corporate Cash Distribution,3005-1002,keep,Standardized naming for distribution account.
3006-1005,11200 Kiley Storage Contribution,11200,Kiley Storage Contribution,nan,200000.0,False,11200 Kiley Storage Cash,11200-Kiley-Operating,keep,Operating cash for Kiley Storage
3006-1006,11200 Kiley Storage Distribution,11200,Kiley Storage Distribution,nan,-35918.06,False,11200 Kiley Storage Cash,11200-Kiley-Operating,merge,Merging into Kiley Storage Cash
3006-1009,Sugar Mama Trust Contribution,nan,Sugar Mama Trust Contribution,nan,1861006.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1010,Sugar Mama Trust Distribution,nan,Sugar Mama Trust Distribution,nan,-212097.72000000003,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1013,Maurice Tanner Contribution,nan,Maurice Tanner Contribution,nan,1000000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1014,Maurice Tanner Distribution,nan,Maurice Tanner Distribution,nan,-164496.58000000002,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1017,DGG Michal Contribution,nan,DGG Michal Contribution,nan,1116603.98,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1018,DGG Michal Distribution,nan,DGG Michal Distribution,nan,-127258.62,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1021,Fulop and McCallum Contribution,nan,Fulop and McCallum Contribution,nan,300000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1022,Fulop and McCallum Distribution,nan,Fulop and McCallum Distribution,nan,-20846.5,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1025,Aladdin Woods Contribution,nan,Aladdin Woods Contribution,nan,5200000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1026,Aladdin Woods Distribution,nan,Aladdin Woods Distribution,nan,-480498.5,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1029,Nathan Brown Contribution,nan,Nathan Brown Contribution,nan,60000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1030,Nathan Brown Distribution,nan,Nathan Brown Distribution,nan,-5449.48,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1033,Pladot Paldom Contribution,nan,Pladot Paldom Contribution,nan,200000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1034,Pladot Paldom Distribution,nan,Pladot Paldom Distribution,nan,-27276.4,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1037,Adam Denenberg Contribution,nan,Adam Denenberg Contribution,nan,50000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1038,Adam Denenberg Distribution,nan,Adam Denenberg Distribution,nan,-6819.1,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1041,Warren Gary Contribution,nan,Warren Gary Contribution,nan,40000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1042,Warren Gary Distribution,nan,Warren Gary Distribution,nan,-5455.28,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1045,Matt Clark Contribution,nan,Matt Clark Contribution,nan,40000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1046,Matt Clark Distribution,nan,Matt Clark Distribution,nan,-3690.7,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1049,Cheryl Levine Contribution,nan,Cheryl Levine Contribution,nan,250000.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1050,Cheryl Levine Distribution,nan,Cheryl Levine Distribution,nan,-34095.5,False,Corporate Cash,Corporate-Operating,merge,Merging into Corporate Cash
3006-1053,Richard Levine Contribution,nan,Richard Levine Contribution,nan,629150.0,False,Corporate Cash,Corporate-Operating,keep,Trust contribution cash
3006-1054,Richard Levine Distribution,nan,Richard Levine Distribution,nan,-73206.06,False,Corporate Cash,CC-001,keep,Non-accumulated account
3006-1057,Brett Marcus Contribution,nan,Brett Marcus Contribution,nan,40000.0,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3006-1058,Brett Marcus Distribution,nan,Brett Marcus Distribution,nan,-4486.42,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3006-1061,Laura White Contribution,nan,Laura White Contribution,nan,2000.0,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3006-1062,Laura White Distribution,nan,Laura White Distribution,nan,-107.96,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3006-1065,Leonard Levine Contribution,nan,Leonard Levine Contribution,nan,765252.0,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3006-1066,Leonard Levine Distribution,nan,Leonard Levine Distribution,nan,-93461.96,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3006-1069,11200 Kiley Storage LLC Contribution,11200,Kiley Storage LLC Contribution,nan,334564.0,False,11200 Kiley Storage Cash,KSC-001,keep,Non-accumulated account for property 11200
3006-1070,11200 Kiley Storage LLC Distribution,11200,Kiley Storage LLC Distribution,nan,-20779.44,False,11200 Kiley Storage Cash,KSC-001,merge,"Non-accumulated account, merging into 11200 Kiley Storage Cash"
3006-1073,The Lin Irrevocable Trust Contribution,nan,The Lin Irrevocable Trust Contribution,nan,861006.0,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3006-1074,The Lin Irrevocable Trust Distribution,nan,The Lin Irrevocable Trust Distribution,nan,-47601.14,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3006-1078,Dave White Distributions,nan,Dave White Distributions,nan,-39.92,False,Corporate Cash,CC-001,merge,"Non-accumulated account, merging into Corporate Cash"
3010-1001,EP SEF III Contribution,nan,EP SEF III Contribution,nan,3545439.68,False,Corporate Cash,CASH-001,keep,Non-accumulated cash account.
3011-0000,EP SEF III Distribution,nan,EP SEF III Distribution,nan,-1328779.52,False,Corporate Cash,CASH-001,keep,Non-accumulated cash account.
3013-1001,EP SEF IV Contribution,nan,EP SEF IV Contribution,nan,3335999.38,False,Corporate Cash,CC-001,keep,Non-accumulated account for contributions.
3013-1002,EP SEF IV Distribution,nan,EP SEF IV Distribution,nan,-288514.44,False,Corporate Cash,CC-001,merge,"Non-accumulated account for distributions, merging into Corporate Cash."
3020-0000,James Sayegh Contribution,nan,James Sayegh Contribution,nan,1317.16,False,Corporate Cash,CC-001,keep,"Non-accumulated account, kept as is."
3021-0000,James Sayegh Distribution,nan,James Sayegh Distribution,nan,-113.98,False,Corporate Cash,CC-001,keep,Account is not accumulated and does not fit into any specific property grouping.
3030-1001,Boost LLC Contribution,nan,Boost LLC Contribution,nan,1317.16,False,Corporate Cash,CC-001,keep,Non-accumulated cash contribution account.
3031-0000,Boost LLC Distribution,nan,Boost LLC Distribution,nan,-113.98,False,Corporate Operating Cash,COC-001,keep,Account is non-accumulated and represents operating cash.
3036-0000,The Great Big G Contribution,nan,The Great Big G Contribution,nan,-1600000.0,False,Corporate Cash Reserve,CR-001,keep,Account is not accumulated and is a contribution account.
3040-0000,Jeki Verde LLC Contribution,nan,Jeki Verde LLC Contribution,nan,3200000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated cash account for contributions.
3041-0000,Jeki Verde LLC Distribution,nan,Jeki Verde LLC Distribution,nan,-1449289.88,False,Corporate Cash,CASH-001,keep,Account is non-accumulated and does not fit into any specific property grouping.
3047-0000,Ronnie Stillman Contribution,nan,Ronnie Stillman Contribution,nan,644402.0,False,Corporate Cash,CC-001,keep,Non-accumulated account for contributions.
3048-0000,Ronnie Stillman Distribution,nan,Ronnie Stillman Distribution,nan,-921472.32,False,Corporate Operating Cash,COC-001,keep,Account is non-accumulated and does not match any other accounts.
3051-0000,Howard Stillman Contribution,nan,Howard Stillman Contribution,nan,2830504.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account for contributions.
3052-0000,Howard Stillman Distribution,nan,Howard Stillman Distribution,nan,-934023.04,False,Corporate Operating Cash,COC-001,keep,Account is non-accumulated and does not match any other accounts.
3069-0000,"Gamanz, LLC Contribution",nan,"Gamanz, LLC Contribution",nan,2720134.0,False,Corporate Cash,CASH-001,keep,"Non-accumulated cash account for Gamanz, LLC contribution."
3070-0000,"Gamanz, LLC Distribution",nan,"Gamanz, LLC Distribution",nan,-1272270.4,False,Corporate Cash Distribution,CC-001,keep,Account is not accumulated and is a distribution account.
3076-0000,David Duckler Contribution,nan,David Duckler Contribution,nan,-666520.0,False,Corporate Cash,CASH-001,keep,"Non-accumulated account, normalized naming."
3077-0000,David Duckler Distribution Account,nan,David Duckler Distribution Account,nan,700711.12,False,Corporate Operating Cash,COC-001,keep,Normalized naming for clarity.
3085-0000,EP Dempster Contribution,nan,EP Dempster Contribution,nan,238078.0,False,Corporate Cash,CASH-001,keep,Normalized naming for clarity.
3086-0000,EP Dempster Distribution,nan,EP Dempster Distribution,nan,-431150.0,False,Corporate Operating Cash,COC-001,keep,Account is non-accumulated and does not match any other accounts.
3090-1000,EP Dempster Capital,nan,EP Dempster Capital,nan,-556195.54,False,Corporate Cash,CASH-001,keep,Non-accumulated cash account for EP Dempster Capital.
3091-1000,Owner Contribution,nan,Owner Contribution,nan,1346382.44,False,Corporate Cash,CC-001,keep,"Owner Contribution account, not accumulated."
3300-0000,Owner Distributions,nan,Owner Distributions,nan,-667319.74,False,Owner Cash Distributions,Owner_Distributions,keep,Account is not accumulated and represents owner distributions.
3303-1411,Cross Family Trust Contribution,nan,Cross Family Trust Contribution,nan,200000.0,False,Corporate Cash Contribution,3303-1411,keep,Primary contribution account
3303-1412,Cross Family Trust Distribution,nan,Cross Family Trust Distribution,nan,-20000.0,False,Corporate Cash Distribution,3303-1411,merge,Merge into 3303-1411
3303-1421,RDL Investments LLC Contribution,nan,RDL Investments LLC Contribution,nan,390063.02,False,Corporate Cash Contribution,3303-1421,keep,Primary contribution account
3303-1422,RDL Investments LLC Distribution,nan,RDL Investments LLC Distribution,nan,-36373.36,False,Corporate Cash Distribution,3303-1421,merge,Merge into 3303-1421
3303-1431,Feng Bei Contribution,nan,Feng Bei Contribution,nan,100000.0,False,Corporate Cash Contribution,3303-1431,keep,Primary contribution account
3303-1432,Feng Bei Distribution,nan,Feng Bei Distribution,nan,-75179.5,False,Corporate Cash Distribution,3303-1431,merge,Merge into 3303-1431
3303-1441,Brad Sarnoff Declaration of Trust Contribution,nan,Brad Sarnoff Declaration of Trust Contribution,nan,200000.0,False,Corporate Cash Contribution,3303-1441,keep,Primary contribution account
3303-1442,Brad Sarnoff Declaration of Trust Distribution,nan,Brad Sarnoff Declaration of Trust Distribution,nan,-150358.96,False,Corporate Cash Distribution,3303-1441,merge,Merge into 3303-1441
3303-1451,R&C Partners Contribution,nan,R&C Partners Contribution,nan,200000.0,False,Corporate Cash Contribution,3303-1451,keep,Primary contribution account
3303-1452,R&C Partners Distribution,nan,R&C Partners Distribution,nan,-150358.96,False,Corporate Cash Distribution,3303-1451,merge,Merge into 3303-1451
3303-1471,Chuck Dinolfo Contribution,nan,Chuck Dinolfo Contribution,nan,400000.0,False,Corporate Cash Contribution,3303-1471,keep,Primary contribution account
3303-1472,Chuck Dinolfo Distribution,nan,Chuck Dinolfo Distribution,nan,-159989.41999999998,False,Corporate Cash Distribution,3303-1471,merge,Merge into 3303-1471
3303-1481,Larry Elbaum Contribution,nan,Larry Elbaum Contribution,nan,650000.0,False,Corporate Cash Contribution,3303-1481,keep,Primary contribution account
3303-1482,Larry Elbaum Distribution,nan,Larry Elbaum Distribution,nan,-119522.56,False,Corporate Cash Distribution,3303-1481,merge,Merge into 3303-1481
3303-1491,Tarun Contribution,nan,Tarun Contribution,nan,100000.0,False,Corporate Cash Contribution,3303-1491,keep,Primary contribution account
3303-1492,Tarun Distribution,nan,Tarun Distribution,nan,-42589.76,False,Corporate Cash Distribution,3303-1491,merge,Merge into 3303-1491
3303-1501,Stephen Investment Co. Contribution,nan,Stephen Investment Co. Contribution,nan,200000.0,False,Corporate Cash Contribution,3303-1501,keep,Primary contribution account
3303-1502,Stephen Investment Co. Distribution,nan,Stephen Investment Co. Distribution,nan,-20000.0,False,Corporate Cash Distribution,3303-1501,merge,Merge into 3303-1501
3303-1511,Thirty 31 Partners LLC Contribution,nan,Thirty 31 Partners LLC Contribution,nan,350000.0,False,Corporate Cash Contribution,3303-1511,keep,Primary contribution account
3303-1512,Thirty 31 Partners LLC Distribution,nan,Thirty 31 Partners LLC Distribution,nan,-24630.46,False,Corporate Cash Distribution,3303-1511,merge,Merge into 3303-1511
3303-1516,Dan Shachtman Trust Contribution,nan,Dan Shachtman Trust Contribution,nan,50000.0,False,Corporate Cash Contribution,3303-1516,keep,Primary contribution account
3303-1517,Dan Shachtman Trust Distribution,nan,Dan Shachtman Trust Distribution,nan,-37589.76,False,Corporate Cash Distribution,3303-1516,merge,Merge into 3303-1516
3303-1521,Larry Feller Contribution,nan,Larry Feller Contribution,nan,222012.0,False,Corporate Cash Contribution,3303-1521,keep,Primary contribution account
3303-1522,Larry Feller Distribution,nan,Larry Feller Distribution,nan,-14790.16,False,Corporate Cash Distribution,3303-1521,merge,Merge into 3303-1521
3303-1531,Thomas Sitz Contribution,nan,Thomas Sitz Contribution,nan,200000.0,False,Corporate Cash Contribution,3303-1531,keep,Primary contribution account
3303-1532,Thomas Sitz Distribution,nan,Thomas Sitz Distribution,nan,-13853.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-1541,Loraine Kaufman Trust Contribution,nan,Loraine Kaufman Trust Contribution,nan,100000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-1542,Loraine Kaufman Trust Distribution,nan,Loraine Kaufman Trust Distribution,nan,-10000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-1551,Siyi Li Contribution,nan,Siyi Li Contribution,nan,100000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-1552,Siyi Li Distribution,nan,Siyi Li Distribution,nan,-75179.5,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-1561,David Tanner Contribution,nan,David Tanner Contribution,nan,50000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-1562,David Tanner Distribution,nan,David Tanner Distribution,nan,-5000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2002,Jarcadia LLC Contribution,nan,Jarcadia LLC Contribution,nan,1000000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2003,Jarcadia LLC Distribution,nan,Jarcadia LLC Distribution,nan,-751794.86,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2006,Matt Bowker Contribution,nan,Matt Bowker Contribution,nan,210000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2007,Matt Bowker Distribution,nan,Matt Bowker Distribution,nan,-7490.860000000001,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2014,Elmdale Partners Contribution,nan,Elmdale Partners Contribution,nan,753274.3,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2015,Elmdale Partners Distribution,nan,Elmdale Partners Distribution,nan,-100074.03999999998,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2023,Tom Bretz/Badger Elmdale Contribution,nan,Tom Bretz/Badger Elmdale Contribution,nan,593600.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2024,Tom Bretz/Badger Elmdale Distribution,nan,Tom Bretz/Badger Elmdale Distribution,nan,-253641.32,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2027,Adam Freeman Contribution,nan,Adam Freeman Contribution,nan,220000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2028,Adam Freeman Distribution,nan,Adam Freeman Distribution,nan,-218601.52,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2034,Charles A Anderson Contribution,nan,Charles A Anderson Contribution,nan,325000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2035,Charles A Anderson Distribution,nan,Charles A Anderson Distribution,nan,-8426.66,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2037,James Feaster Contribution,nan,James Feaster Contribution,nan,325000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2038,James Feaster Distribution,nan,James Feaster Distribution,nan,-8426.66,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2040,James Sayegh Revocable Trust Contribution,nan,James Sayegh Revocable Trust Contribution,nan,70000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2041,James Sayegh Revocable Trust Distribution,nan,James Sayegh Revocable Trust Distribution,nan,-3178.2,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2043,Tye Gribb Contribution,nan,Tye Gribb Contribution,nan,400000.0,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2044,Tye Gribb Distribution,nan,Tye Gribb Distribution,nan,-17336.5,False,Corporate Cash,CASH-001,keep,Non-accumulated account
3303-2046,Nicholas Marino Contribution,nan,Nicholas Marino Contribution,nan,50000.0,False,Corporate Cash Contribution,3303-2046,keep,Contribution account for Nicholas Marino
3303-2047,Nicholas Marino Distribution,nan,Nicholas Marino Distribution,nan,-2407.6,False,Corporate Cash Distribution,3303-2047,keep,Distribution account for Nicholas Marino
3303-2049,Amy Shuman Contribution,nan,Amy Shuman Contribution,nan,70000.0,False,Corporate Cash Contribution,3303-2049,merge,"Contribution account for Amy Shuman, merging into Nicholas Marino"
3303-2050,Amy Shuman Distribution,nan,Amy Shuman Distribution,nan,-3370.66,False,Corporate Cash Distribution,3303-2050,merge,"Distribution account for Amy Shuman, merging into Nicholas Marino"
3303-2052,James Darrow Revocable Trust Contribution,nan,James Darrow Revocable Trust Contribution,nan,100000.0,False,Corporate Cash Contribution,3303-2052,keep,Contribution account for James Darrow Revocable Trust
3303-2053,James Darrow Revocable Trust Distribution,nan,James Darrow Revocable Trust Distribution,nan,-4815.26,False,Corporate Cash Distribution,3303-2053,merge,"Distribution account for James Darrow Revocable Trust, merging into Nicholas Marino"
3303-2055,Richard Solley Contribution,nan,Richard Solley Contribution,nan,50000.0,False,Corporate Cash Contribution,3303-2055,merge,"Contribution account for Richard Solley, merging into Nicholas Marino"
3303-2056,Richard Solley Distribution,nan,Richard Solley Distribution,nan,-2407.6,False,Corporate Cash Distribution,3303-2056,merge,"Distribution account for Richard Solley, merging into Nicholas Marino"
3303-2058,Jill K Donnellon Trust Contribution,nan,Jill K Donnellon Trust Contribution,nan,144024.0,False,Corporate Cash Contribution,3303-2058,keep,Contribution account for Jill K Donnellon Trust
